Timestamp,EDA_Phasic_E,EDA_Tonic_E,EDA_E,EDA_Tonic_STD,EDA_Phasic_STD,HRV_MedianNN,HRV_MedianNN_norm
2025-09-24 13:04:18+07:00,0.0,-0.2052521381564789,4.314603,-0.842615765394529,-0.5272909617571737,660.0,0.0
2025-09-24 13:04:19+07:00,0.0,-0.20746571705891625,4.317260000000006,-0.8433318137022168,-0.5272909617571737,660.0,0.0
2025-09-24 13:04:20+07:00,0.013014251742150314,-0.2385462954229327,4.301318000000003,-0.8533857564439943,-0.5243315933941733,660.0,0.0
2025-09-24 13:04:21+07:00,0.04000072021217577,-0.26593303982078353,4.301317999999998,-0.8622448181009186,-0.518195020765826,660.0,0.0
2025-09-24 13:04:22+07:00,0.052580849053166415,-0.29004254607359936,4.298681,-0.8700437590523833,-0.5153343695326921,660.0,0.0
2025-09-24 13:04:23+07:00,0.0560785295227288,-0.31129141000251614,4.288113999999996,-0.876917339677784,-0.5145390164743228,660.0,0.0
2025-09-24 13:04:24+07:00,0.05728875893904692,-0.3300962274286645,4.269758999999995,-0.8830003203565142,-0.5142638170454517,660.0,0.0
2025-09-24 13:04:25+07:00,0.058914787734476545,-0.34687359417317776,4.251560999999996,-0.8884274614679687,-0.5138940671535746,660.0,0.0
2025-09-24 13:04:26+07:00,0.055220598873655796,-0.3620401060571883,4.236098999999997,-0.8933335233915418,-0.5147341051256581,660.0,0.0
2025-09-24 13:04:27+07:00,0.05072776776155912,-0.37601235890183116,4.2207499999999945,-0.8978532665066286,-0.5157557498976262,660.0,0.0
2025-09-24 13:04:28+07:00,0.04239385261153965,-0.3892069485282361,4.1979089999999974,-0.9021214511926223,-0.5176508357868147,660.0,0.0
2025-09-24 13:04:29+07:00,0.03559848877986626,-0.40204047075753735,4.175312999999995,-0.9062728378289182,-0.5191960636752073,660.0,0.0
2025-09-24 13:04:30+07:00,0.025122742751582373,-0.41469182756181855,4.160400999999998,-0.9103652976096314,-0.5215781899771385,660.0,0.0
2025-09-24 13:04:31+07:00,0.016085384412303987,-0.42655692941040524,4.135765999999994,-0.9142034197067785,-0.523633234929722,660.0,0.0
2025-09-24 13:04:32+07:00,0.009960377801170069,-0.4368726416236317,4.116271000000001,-0.9175403453816402,-0.5250260273197335,660.0,0.0
2025-09-24 13:04:33+07:00,0.006091554575058485,-0.4448758295218278,4.0993550000000045,-0.9201292158954948,-0.5259057761738541,660.0,0.0
2025-09-24 13:04:34+07:00,0.020441801769067867,-0.4498033584253234,4.113832999999996,-0.9217231725096212,-0.5226426098859573,660.0,0.0
2025-09-24 13:04:35+07:00,0.10486115688666402,-0.4477715848881445,4.200423000000002,-0.9210659345854163,-0.5034461187076921,660.0,0.0
2025-09-24 13:04:36+07:00,0.36045199461578514,-0.43927474156625834,4.463506999999997,-0.9183173764587438,-0.4453261857269459,660.0,0.0
2025-09-24 13:04:37+07:00,0.5930664889444364,-0.42470057617631074,4.713514999999996,-0.9136029267267088,-0.3924309452682109,660.0,0.0
2025-09-24 13:04:38+07:00,0.8091531184163925,-0.40328595403863066,4.9542449999999985,-0.9066757266505899,-0.3432940492255773,660.0,0.0
2025-09-24 13:04:39+07:00,0.8554214172636339,-0.37458714127454407,5.0219049999999985,-0.897392237234538,-0.33277289576003427,660.0,0.0
2025-09-24 13:04:40+07:00,0.9920544007395165,-0.33944656258794215,5.197554999999999,-0.8860249659473004,-0.3017033162980592,660.0,0.0
2025-09-24 13:04:41+07:00,0.98982171664625,-0.299026043483706,5.197555000000003,-0.8729497400004947,-0.30221101622588425,660.0,0.0
2025-09-24 13:04:42+07:00,0.8901061933792223,-0.2544874094667211,5.1401780000000015,-0.8585423866057401,-0.3248857708489815,650.0,-10.0
2025-09-24 13:04:43+07:00,0.728615762002693,-0.20699248604187126,5.021905000000002,-0.8431787329746551,-0.36160779551945466,650.0,-10.0
2025-09-24 13:04:44+07:00,0.539336013012393,-0.15770309871403665,4.888351,-0.8272346063188568,-0.4046489562420767,655.0,-5.0
2025-09-24 13:04:45+07:00,0.363845138659985,-0.10778107298810458,4.755227000000001,-0.811085833849965,-0.444554603669486,650.0,-10.0
2025-09-24 13:04:46+07:00,0.22947272990781914,-0.05838823436895613,4.678763999999999,-0.7951082427795972,-0.4751101410296092,650.0,-10.0
2025-09-24 13:04:47+07:00,0.14128381298123904,-0.010686408361474165,4.629161000000001,-0.7796776603193718,-0.49516380956857897,650.0,-10.0
2025-09-24 13:04:48+07:00,0.09201833495453805,0.03416257952945578,4.6600470000000005,-0.7651699136809076,-0.5063665048866751,655.0,-5.0
2025-09-24 13:04:49+07:00,0.09961322192119518,0.07524568821966682,4.723071000000001,-0.7518803533134014,-0.5046394698903491,660.0,0.0
2025-09-24 13:04:50+07:00,0.16306255876399356,0.1126516781762561,4.820870000000001,-0.7397802669888028,-0.4902114440747898,660.0,0.0
2025-09-24 13:04:51+07:00,0.17429695559519853,0.14671809428703497,4.854376000000004,-0.7287604657166402,-0.48765680480559676,660.0,0.0
2025-09-24 13:04:52+07:00,0.1652527263556756,0.17778248143981834,4.871305,-0.7187117605064413,-0.48971341216262826,660.0,0.0
